Tick,Attribute.Component,Origin,Failed Behaviour
0.0,temperature.heater,temperature.heater,
0.0,material.body,material.body,
1.0,temperature.motor,material.body,
2.0,geometry.nozzle,temperature.motor,
2.0,material.nozzle,temperature.motor,
2.0,geometry.fan,geometry.fan,
2.0,geometry.motor,temperature.heater,
3.0,material.heater,material.heater,
3.0,power.heater,power.heater,
4.0,material.fan,temperature.motor,
4.0,rot.speed.fan,temperature.heater,
4.0,geometry.body,material.body,
5.0,geometry.heater,material.body,
6.0,power.motor,temperature.motor,
7.0,material.motor,geometry.fan,
7.0,temperature.nozzle,geometry.fan,
7.0,power.fan,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
