Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,geometry.fan,geometry.fan,
0.0,power.heater,power.heater,
0.0,geometry.nozzle,geometry.nozzle,
1.0,temperature.motor,temperature.motor,
1.0,rot.speed.fan,geometry.fan,
1.0,material.nozzle,power.heater,
1.0,power.motor,geometry.nozzle,
3.0,material.heater,power.motor,
3.0,material.fan,geometry.nozzle,
3.0,geometry.heater,material.nozzle,
4.0,geometry.body,geometry.motor,
4.0,temperature.heater,temperature.heater,
5.0,temperature.nozzle,power.motor,
5.0,power.fan,power.fan,
5.0,material.body,material.body,
6.0,material.motor,rot.speed.fan,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
