Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,material.fan,material.fan,
0.0,power.heater,power.heater,
1.0,power.fan,geometry.motor,
1.0,temperature.nozzle,geometry.motor,
1.0,temperature.motor,temperature.motor,
1.0,temperature.heater,material.fan,
1.0,material.body,material.body,
2.0,material.heater,material.fan,
2.0,geometry.heater,power.heater,
2.0,geometry.nozzle,temperature.heater,
3.0,geometry.body,temperature.motor,
3.0,material.motor,geometry.heater,
3.0,rot.speed.fan,geometry.heater,
3.0,geometry.fan,power.heater,
3.0,material.nozzle,power.heater,
5.0,power.motor,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
