Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,rot.speed.fan,rot.speed.fan
0,material.body,material.body
1,geometry.motor,geometry.motor
1,material.motor,material.motor
1,temperature.heater,temperature.motor
1,material.fan,material.fan
1,power.heater,power.heater
1,power.fan,material.body
1,material.nozzle,material.body
2,geometry.nozzle,temperature.motor
2,material.nozzle,power.heater
2,geometry.heater,material.body
3,geometry.motor,temperature.motor
3,geometry.fan,geometry.fan
3,material.heater,material.heater
3,geometry.fan,power.heater
3,geometry.heater,power.heater
3,geometry.body,temperature.heater
3,material.body,temperature.heater
4,geometry.heater,material.motor
4,material.motor,temperature.motor
4,rot.speed.fan,temperature.motor
4,geometry.heater,temperature.motor
4,material.nozzle,material.fan
4,power.heater,power.fan
4,temperature.heater,power.fan
4,geometry.nozzle,power.fan
5,geometry.fan,geometry.motor
5,power.fan,geometry.motor
5,material.body,temperature.motor
5,geometry.heater,material.fan
6,geometry.fan,material.fan
6,temperature.nozzle,material.heater
6,material.fan,geometry.nozzle
6,material.body,geometry.nozzle
6,rot.speed.fan,material.nozzle
6,material.body,geometry.body
7,power.heater,geometry.motor
7,material.body,material.heater
7,temperature.heater,temperature.nozzle
8,material.motor,geometry.motor
8,geometry.motor,material.heater
8,temperature.nozzle,geometry.nozzle
8,temperature.nozzle,material.nozzle
8,geometry.body,geometry.body
9,temperature.nozzle,rot.speed.fan
9,geometry.heater,power.fan
9,material.motor,power.heater
9,geometry.body,geometry.nozzle
9,temperature.nozzle,material.body
10,material.heater,material.heater
10,temperature.heater,geometry.nozzle
11,geometry.heater,geometry.fan
12,material.motor,rot.speed.fan
12,material.motor,material.body
13,power.fan,geometry.fan
13,material.nozzle,geometry.body
14,material.fan,geometry.motor
14,power.motor,power.motor
