Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,temperature.motor,temperature.motor
0,material.heater,material.heater
1,geometry.fan,geometry.fan
1,power.heater,power.heater
1,geometry.nozzle,geometry.nozzle
1,geometry.body,geometry.body
2,power.fan,geometry.motor
2,geometry.nozzle,temperature.motor
2,material.nozzle,power.heater
2,material.body,material.body
3,temperature.motor,geometry.motor
3,geometry.fan,geometry.motor
3,material.body,power.fan
3,material.body,material.nozzle
4,temperature.heater,temperature.motor
4,power.heater,power.fan
4,geometry.nozzle,power.fan
4,material.body,material.heater
4,temperature.heater,geometry.body
4,material.body,geometry.body
5,material.motor,geometry.motor
5,material.fan,geometry.motor
5,temperature.heater,power.fan
5,geometry.motor,material.heater
5,material.fan,material.nozzle
6,material.body,temperature.motor
6,power.heater,geometry.fan
6,geometry.fan,power.fan
6,geometry.heater,power.fan
6,temperature.nozzle,temperature.heater
6,temperature.nozzle,geometry.nozzle
6,material.body,geometry.nozzle
6,rot.speed.fan,material.nozzle
6,geometry.body,geometry.body
7,material.motor,temperature.motor
7,geometry.heater,temperature.motor
7,material.body,temperature.heater
7,material.fan,geometry.nozzle
8,power.motor,power.motor
8,rot.speed.fan,temperature.motor
8,geometry.heater,power.heater
8,rot.speed.fan,temperature.nozzle
