Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,material.heater,material.heater
0,power.heater,power.heater
1,temperature.motor,temperature.motor
1,material.fan,material.fan
1,material.nozzle,power.heater
1,geometry.nozzle,geometry.nozzle
3,temperature.motor,geometry.motor
3,rot.speed.fan,rot.speed.fan
3,temperature.nozzle,material.heater
3,power.fan,power.heater
3,geometry.heater,power.heater
3,temperature.heater,temperature.heater
3,temperature.motor,geometry.nozzle
3,power.fan,geometry.nozzle
3,material.body,geometry.nozzle
3,rot.speed.fan,material.nozzle
3,geometry.body,material.nozzle
4,power.fan,geometry.motor
4,temperature.nozzle,geometry.motor
4,temperature.heater,temperature.motor
4,geometry.heater,material.fan
4,material.heater,material.heater
4,geometry.motor,power.heater
4,temperature.nozzle,geometry.nozzle
5,temperature.nozzle,rot.speed.fan
5,geometry.nozzle,material.fan
5,material.body,power.fan
5,material.body,material.nozzle
5,temperature.heater,geometry.body
6,geometry.fan,geometry.motor
6,material.body,temperature.motor
6,geometry.fan,material.fan
6,material.motor,geometry.heater
6,temperature.heater,temperature.nozzle
6,material.body,geometry.body
7,material.motor,temperature.motor
7,rot.speed.fan,temperature.motor
7,geometry.heater,temperature.motor
7,geometry.motor,material.fan
7,material.body,temperature.nozzle
8,power.heater,geometry.fan
8,temperature.heater,power.fan
8,material.body,material.heater
9,power.motor,power.motor
9,material.nozzle,material.fan
9,temperature.heater,geometry.nozzle
9,temperature.heater,material.body
