Tick,Attribute.Component,Origin
1,power.motor,power.motor
1,rot.speed.fan,rot.speed.fan
1,geometry.body,geometry.body
2,geometry.fan,geometry.fan
2,temperature.heater,temperature.heater
2,geometry.nozzle,geometry.nozzle
2,material.body,material.body
3,temperature.nozzle,rot.speed.fan
3,temperature.heater,geometry.body
3,material.nozzle,material.body
4,material.fan,material.fan
4,temperature.motor,temperature.heater
4,temperature.motor,geometry.nozzle
4,power.fan,geometry.nozzle
4,material.body,geometry.nozzle
4,material.body,geometry.body
5,geometry.motor,geometry.motor
5,geometry.heater,geometry.fan
5,material.heater,material.heater
5,power.heater,power.heater
5,temperature.nozzle,geometry.nozzle
5,rot.speed.fan,material.nozzle
5,power.fan,material.body
6,geometry.motor,geometry.fan
6,material.nozzle,power.heater
6,power.fan,temperature.heater
6,temperature.nozzle,material.body
7,material.body,temperature.motor
7,material.fan,geometry.fan
7,geometry.fan,power.heater
7,power.fan,power.heater
7,geometry.nozzle,temperature.heater
7,geometry.nozzle,geometry.body
7,material.nozzle,geometry.body
8,geometry.heater,power.motor
8,geometry.motor,temperature.motor
8,material.motor,temperature.motor
8,geometry.heater,temperature.motor
8,temperature.nozzle,material.heater
8,geometry.heater,power.heater
8,temperature.nozzle,temperature.heater
8,geometry.body,geometry.body
