Tick,Attribute.Component,Origin
1,temperature.motor,temperature.motor
1,power.fan,power.fan
1,material.heater,material.heater
2,temperature.heater,temperature.motor
2,rot.speed.fan,rot.speed.fan
3,power.heater,power.fan
3,geometry.nozzle,power.fan
3,material.body,power.fan
4,material.nozzle,rot.speed.fan
4,temperature.nozzle,rot.speed.fan
4,temperature.heater,power.fan
4,material.heater,material.heater
4,material.nozzle,power.heater
5,material.motor,temperature.motor
5,rot.speed.fan,temperature.motor
5,geometry.heater,temperature.motor
5,geometry.nozzle,temperature.motor
5,material.fan,material.fan
5,geometry.motor,power.fan
5,geometry.fan,power.heater
5,geometry.heater,power.heater
5,material.body,material.nozzle
5,temperature.heater,temperature.nozzle
6,geometry.heater,material.motor
6,geometry.motor,temperature.motor
6,geometry.nozzle,temperature.nozzle
7,material.body,temperature.motor
7,material.heater,temperature.nozzle
8,geometry.fan,geometry.motor
8,material.body,geometry.heater
8,material.body,geometry.nozzle
8,temperature.nozzle,material.nozzle
9,geometry.heater,material.fan
9,material.nozzle,material.fan
9,material.body,temperature.heater
10,geometry.motor,material.motor
10,material.body,material.motor
10,material.motor,rot.speed.fan
10,geometry.fan,material.fan
10,geometry.heater,power.fan
10,material.body,temperature.nozzle
11,geometry.fan,power.fan
11,material.body,material.heater
11,geometry.fan,geometry.nozzle
12,geometry.motor,material.fan
12,material.motor,power.heater
12,geometry.body,temperature.heater
12,geometry.body,geometry.nozzle
12,geometry.body,material.nozzle
14,geometry.fan,geometry.heater
15,geometry.nozzle,material.fan
15,power.motor,geometry.heater
