Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,rot.speed.fan,rot.speed.fan
0,power.fan,power.fan
0,material.heater,material.heater
0,geometry.body,geometry.body
1,temperature.heater,temperature.motor
1,geometry.fan,geometry.fan
1,material.body,power.fan
2,geometry.nozzle,temperature.motor
2,material.nozzle,rot.speed.fan
2,geometry.motor,power.fan
2,geometry.nozzle,power.fan
2,temperature.heater,geometry.body
3,material.body,temperature.motor
3,temperature.heater,power.fan
3,material.heater,material.heater
3,material.body,material.nozzle
4,material.motor,temperature.motor
4,rot.speed.fan,temperature.motor
4,geometry.heater,temperature.motor
4,geometry.motor,geometry.fan
4,power.heater,geometry.fan
4,material.fan,material.fan
4,geometry.heater,power.fan
4,temperature.nozzle,geometry.nozzle
4,material.body,geometry.nozzle
4,power.heater,material.nozzle
4,geometry.body,material.nozzle
5,geometry.heater,material.motor
5,geometry.motor,temperature.motor
5,power.heater,power.fan
5,temperature.nozzle,temperature.heater
5,material.fan,geometry.nozzle
6,material.fan,geometry.fan
6,geometry.heater,geometry.fan
6,temperature.nozzle,rot.speed.fan
6,temperature.nozzle,material.heater
6,material.body,temperature.heater
7,power.fan,geometry.fan
7,material.body,material.heater
7,geometry.heater,power.heater
7,material.body,geometry.body
8,geometry.nozzle,temperature.heater
8,temperature.nozzle,material.nozzle
9,geometry.motor,material.motor
9,rot.speed.fan,material.motor
9,material.body,material.motor
9,material.body,geometry.heater
9,geometry.motor,material.heater
9,geometry.nozzle,geometry.body
10,power.motor,power.motor
10,geometry.heater,material.fan
