Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,material.fan,material.fan
0,power.fan,power.fan
0,temperature.heater,temperature.heater
1,geometry.fan,geometry.fan
1,temperature.motor,temperature.heater
1,geometry.body,geometry.body
2,power.motor,power.motor
2,geometry.motor,power.fan
2,geometry.nozzle,power.fan
2,power.heater,power.heater
2,temperature.nozzle,temperature.heater
2,material.body,material.body
3,geometry.motor,geometry.fan
3,geometry.heater,material.fan
3,temperature.heater,power.fan
3,material.body,power.fan
3,material.nozzle,power.heater
4,geometry.nozzle,temperature.motor
4,material.body,temperature.motor
4,geometry.nozzle,material.fan
4,geometry.fan,power.fan
4,power.heater,power.fan
4,material.body,temperature.heater
4,geometry.nozzle,temperature.nozzle
4,material.nozzle,geometry.body
5,geometry.motor,temperature.motor
5,material.motor,temperature.motor
5,rot.speed.fan,temperature.motor
5,geometry.heater,temperature.motor
5,geometry.fan,material.fan
5,material.body,material.nozzle
5,rot.speed.fan,temperature.nozzle
