Tick,Attribute.Component,Origin
0,temperature.heater,temperature.heater
0,material.body,material.body
1,geometry.fan,geometry.fan
1,material.heater,material.heater
1,temperature.motor,temperature.heater
1,geometry.nozzle,geometry.nozzle
1,power.fan,material.body
1,material.nozzle,material.body
2,geometry.motor,geometry.motor
2,power.heater,material.nozzle
2,geometry.heater,material.body
2,geometry.nozzle,material.body
2,temperature.nozzle,material.body
3,geometry.nozzle,temperature.motor
3,geometry.motor,geometry.fan
3,power.heater,geometry.fan
3,geometry.nozzle,power.fan
3,power.fan,temperature.heater
3,geometry.body,temperature.heater
3,temperature.heater,temperature.nozzle
3,temperature.motor,material.body
3,geometry.body,material.body
4,geometry.heater,geometry.fan
4,temperature.nozzle,material.heater
4,material.heater,material.body
5,power.fan,geometry.fan
5,rot.speed.fan,rot.speed.fan
5,material.motor,geometry.heater
5,geometry.heater,power.heater
5,temperature.nozzle,geometry.nozzle
5,rot.speed.fan,material.nozzle
5,temperature.nozzle,material.nozzle
5,material.motor,material.body
6,temperature.motor,geometry.motor
6,power.fan,geometry.motor
6,material.fan,geometry.fan
6,geometry.nozzle,geometry.fan
6,temperature.heater,material.body
7,power.heater,geometry.motor
7,temperature.nozzle,rot.speed.fan
8,material.motor,geometry.motor
8,material.heater,geometry.motor
8,material.fan,geometry.heater
8,geometry.body,material.nozzle
9,temperature.motor,rot.speed.fan
9,temperature.motor,geometry.heater
9,material.motor,power.heater
9,material.fan,material.body
10,geometry.heater,power.fan
10,material.heater,material.heater
11,material.fan,geometry.motor
11,power.motor,power.motor
11,power.heater,power.fan
