Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,power.heater,power.heater
1,rot.speed.fan,rot.speed.fan
1,material.fan,material.fan
1,material.nozzle,power.heater
2,geometry.fan,geometry.motor
2,power.fan,geometry.motor
2,geometry.heater,power.heater
3,temperature.motor,temperature.motor
3,material.heater,material.heater
3,geometry.motor,power.heater
3,rot.speed.fan,material.nozzle
3,geometry.body,material.nozzle
3,material.body,material.body
4,geometry.heater,material.fan
4,power.heater,power.fan
4,material.body,power.fan
4,material.body,material.nozzle
5,temperature.heater,temperature.motor
5,geometry.nozzle,temperature.motor
5,power.heater,geometry.fan
5,material.body,material.fan
5,temperature.heater,power.fan
5,material.motor,geometry.heater
6,temperature.motor,geometry.motor
6,geometry.fan,material.fan
6,geometry.heater,power.fan
6,geometry.nozzle,power.fan
6,temperature.nozzle,material.heater
6,temperature.heater,geometry.body
7,material.heater,geometry.motor
7,power.heater,material.motor
7,temperature.motor,rot.speed.fan
7,geometry.nozzle,material.fan
7,material.body,temperature.heater
7,material.fan,material.nozzle
7,temperature.nozzle,material.nozzle
8,material.motor,geometry.motor
8,material.fan,geometry.motor
8,geometry.fan,power.fan
8,geometry.nozzle,geometry.body
9,power.motor,geometry.motor
9,geometry.fan,geometry.heater
9,material.body,geometry.heater
9,rot.speed.fan,temperature.nozzle
