Tick,Attribute.Component,Origin
1,material.fan,material.fan
1,power.heater,power.heater
1,material.body,material.body
2,geometry.fan,geometry.fan
2,rot.speed.fan,rot.speed.fan
2,power.fan,power.fan
2,material.nozzle,power.heater
2,power.fan,material.body
3,power.motor,power.motor
3,temperature.motor,temperature.motor
3,geometry.heater,power.heater
3,temperature.heater,temperature.heater
3,geometry.heater,material.body
3,geometry.nozzle,material.body
3,temperature.nozzle,material.body
4,power.heater,geometry.fan
4,material.nozzle,rot.speed.fan
4,geometry.heater,material.fan
4,geometry.motor,power.fan
4,geometry.nozzle,power.fan
4,temperature.motor,temperature.heater
4,temperature.heater,material.body
4,geometry.body,material.body
5,geometry.motor,geometry.fan
5,geometry.heater,geometry.fan
5,power.heater,power.fan
5,temperature.heater,power.fan
5,material.body,material.nozzle
6,geometry.nozzle,temperature.motor
6,temperature.motor,rot.speed.fan
6,geometry.fan,material.fan
6,geometry.fan,power.fan
6,geometry.body,material.nozzle
6,rot.speed.fan,temperature.nozzle
7,geometry.heater,power.motor
7,material.heater,temperature.nozzle
7,geometry.nozzle,temperature.nozzle
8,geometry.motor,material.fan
8,geometry.body,temperature.heater
8,material.fan,material.nozzle
8,temperature.nozzle,material.nozzle
9,geometry.heater,power.fan
9,material.heater,material.heater
9,material.heater,material.body
10,geometry.motor,temperature.motor
10,material.motor,temperature.motor
10,geometry.heater,temperature.motor
10,material.body,temperature.motor
