Tick,Attribute.Component,Origin
0,rot.speed.fan,rot.speed.fan
0,material.fan,material.fan
0,power.fan,power.fan
0,geometry.nozzle,geometry.nozzle
1,geometry.fan,geometry.fan
1,power.heater,power.heater
2,material.nozzle,rot.speed.fan
2,temperature.nozzle,rot.speed.fan
2,geometry.nozzle,power.fan
2,material.body,power.fan
2,material.nozzle,power.heater
3,geometry.motor,geometry.motor
3,geometry.motor,geometry.fan
3,geometry.heater,material.fan
3,geometry.motor,power.fan
3,power.heater,power.fan
3,temperature.heater,power.fan
3,material.body,material.nozzle
4,temperature.motor,temperature.motor
4,geometry.heater,geometry.fan
4,power.heater,geometry.fan
4,temperature.motor,rot.speed.fan
4,material.nozzle,material.fan
4,geometry.heater,power.fan
4,temperature.nozzle,geometry.nozzle
4,material.body,geometry.nozzle
5,geometry.fan,material.fan
5,material.motor,geometry.heater
5,geometry.body,temperature.heater
6,geometry.nozzle,temperature.motor
6,power.heater,geometry.heater
6,material.body,temperature.nozzle
7,temperature.motor,geometry.motor
7,material.body,rot.speed.fan
7,material.body,geometry.heater
7,material.heater,temperature.nozzle
7,material.nozzle,geometry.body
8,material.motor,geometry.motor
8,power.motor,geometry.heater
8,temperature.motor,geometry.heater
8,temperature.nozzle,temperature.heater
8,temperature.heater,material.body
