Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,temperature.motor,temperature.motor
0,power.heater,power.heater
1,material.body,material.body
2,geometry.nozzle,temperature.motor
2,geometry.fan,power.heater
2,material.nozzle,material.body
3,geometry.motor,temperature.motor
3,material.body,temperature.motor
3,temperature.heater,temperature.heater
3,power.heater,material.nozzle
4,material.motor,temperature.motor
4,rot.speed.fan,temperature.motor
4,geometry.heater,temperature.motor
4,temperature.motor,temperature.heater
4,power.fan,geometry.nozzle
4,temperature.nozzle,geometry.nozzle
4,material.body,geometry.nozzle
5,geometry.fan,geometry.motor
5,power.fan,geometry.motor
5,geometry.heater,material.motor
5,geometry.heater,power.heater
5,geometry.body,temperature.heater
5,rot.speed.fan,material.nozzle
5,material.fan,material.nozzle
5,temperature.heater,temperature.nozzle
5,power.fan,material.body
6,power.fan,power.heater
6,temperature.nozzle,material.nozzle
6,geometry.heater,material.body
6,temperature.nozzle,material.body
7,temperature.nozzle,rot.speed.fan
7,geometry.nozzle,material.fan
7,material.fan,material.body
8,material.motor,geometry.motor
8,material.motor,power.heater
8,material.body,geometry.body
9,material.heater,geometry.motor
9,temperature.heater,power.fan
9,geometry.fan,geometry.heater
9,temperature.heater,material.body
10,power.motor,power.motor
10,material.motor,rot.speed.fan
10,geometry.heater,material.fan
10,geometry.motor,power.heater
10,geometry.body,material.nozzle
10,material.heater,temperature.nozzle
