Tick,Attribute.Component,Origin
0,rot.speed.fan,rot.speed.fan
2,temperature.nozzle,rot.speed.fan
3,material.nozzle,rot.speed.fan
3,power.heater,power.heater
3,geometry.nozzle,geometry.nozzle
4,temperature.motor,rot.speed.fan
4,power.fan,power.fan
4,material.heater,material.heater
4,material.nozzle,power.heater
4,geometry.nozzle,temperature.nozzle
5,temperature.heater,temperature.motor
5,geometry.fan,geometry.fan
5,material.motor,rot.speed.fan
5,power.fan,power.heater
5,geometry.heater,power.heater
5,material.heater,temperature.nozzle
5,geometry.body,geometry.body
6,geometry.nozzle,temperature.motor
6,material.body,power.fan
6,material.motor,geometry.heater
6,material.motor,power.heater
6,geometry.fan,power.heater
6,geometry.body,material.nozzle
6,material.body,material.nozzle
6,material.nozzle,temperature.nozzle
6,material.body,temperature.nozzle
7,geometry.nozzle,power.fan
7,material.body,geometry.heater
8,geometry.motor,temperature.motor
8,material.motor,temperature.motor
8,geometry.heater,temperature.motor
8,material.body,temperature.motor
8,material.fan,material.fan
8,temperature.heater,power.fan
8,material.heater,material.heater
8,temperature.heater,temperature.nozzle
8,temperature.heater,geometry.body
9,geometry.motor,geometry.fan
9,geometry.fan,power.fan
9,material.body,geometry.nozzle
9,material.fan,material.nozzle
10,geometry.motor,power.fan
10,material.body,geometry.body
11,material.fan,geometry.heater
11,temperature.heater,geometry.nozzle
11,temperature.heater,material.body
12,geometry.heater,geometry.fan
12,material.body,material.heater
12,geometry.body,geometry.nozzle
13,geometry.motor,material.motor
13,material.body,material.motor
13,geometry.heater,power.fan
13,geometry.motor,material.heater
14,material.fan,geometry.fan
14,material.fan,geometry.nozzle
15,geometry.motor,power.heater
16,geometry.nozzle,geometry.fan
16,material.body,rot.speed.fan
18,material.body,material.fan
18,geometry.body,geometry.body
19,geometry.motor,temperature.nozzle
20,power.motor,power.motor
