Tick,Attribute.Component,Origin
0,geometry.fan,geometry.fan
0,material.body,material.body
1,temperature.motor,temperature.motor
1,power.fan,power.fan
2,temperature.heater,temperature.motor
2,geometry.motor,geometry.fan
2,geometry.body,geometry.body
2,power.fan,material.body
2,geometry.heater,material.body
2,geometry.nozzle,material.body
2,temperature.nozzle,material.body
3,geometry.nozzle,temperature.motor
3,geometry.heater,geometry.fan
3,power.heater,geometry.fan
3,rot.speed.fan,rot.speed.fan
3,material.body,temperature.heater
4,power.fan,geometry.motor
4,geometry.motor,temperature.motor
4,material.body,temperature.motor
4,material.motor,geometry.heater
4,geometry.body,temperature.heater
4,rot.speed.fan,temperature.nozzle
4,temperature.heater,temperature.nozzle
5,rot.speed.fan,temperature.motor
5,geometry.heater,temperature.motor
5,material.fan,geometry.fan
5,power.fan,geometry.nozzle
5,material.heater,temperature.nozzle
5,geometry.nozzle,temperature.nozzle
6,power.heater,material.motor
6,material.motor,temperature.motor
6,material.nozzle,geometry.body
6,material.nozzle,material.body
7,geometry.nozzle,geometry.fan
7,material.nozzle,rot.speed.fan
7,power.heater,geometry.heater
7,power.fan,temperature.heater
7,material.nozzle,temperature.nozzle
8,power.heater,geometry.motor
8,material.body,material.fan
8,power.heater,material.nozzle
9,material.motor,geometry.motor
9,material.nozzle,material.fan
9,power.heater,power.fan
9,power.motor,geometry.heater
9,material.fan,geometry.heater
9,power.fan,geometry.heater
9,material.heater,material.heater
9,material.fan,geometry.nozzle
9,geometry.nozzle,geometry.body
9,geometry.body,geometry.body
