Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,material.heater,material.heater
1,temperature.motor,temperature.motor
1,temperature.heater,temperature.heater
2,geometry.fan,geometry.fan
2,rot.speed.fan,rot.speed.fan
2,power.fan,power.fan
2,material.heater,material.heater
2,temperature.motor,temperature.heater
2,material.body,temperature.heater
3,material.body,power.fan
3,geometry.body,temperature.heater
4,temperature.motor,geometry.motor
4,material.heater,geometry.motor
4,geometry.motor,geometry.fan
4,material.nozzle,rot.speed.fan
4,material.fan,material.fan
4,geometry.motor,power.fan
4,power.fan,temperature.heater
5,temperature.nozzle,temperature.heater
5,power.heater,material.nozzle
5,material.body,material.nozzle
5,material.nozzle,geometry.body
6,geometry.nozzle,temperature.motor
6,temperature.motor,rot.speed.fan
6,temperature.nozzle,rot.speed.fan
6,geometry.nozzle,power.fan
6,material.body,geometry.body
7,material.fan,geometry.fan
7,geometry.heater,geometry.fan
7,power.heater,power.fan
8,power.heater,geometry.motor
8,geometry.nozzle,geometry.fan
8,material.motor,rot.speed.fan
8,geometry.heater,power.fan
8,material.body,material.heater
8,material.body,temperature.nozzle
9,material.motor,geometry.motor
9,material.motor,geometry.heater
9,temperature.nozzle,material.heater
9,geometry.nozzle,geometry.body
9,geometry.body,geometry.body
10,power.motor,power.motor
10,material.motor,temperature.motor
10,geometry.heater,temperature.motor
10,geometry.heater,power.heater
10,temperature.nozzle,material.nozzle
10,geometry.nozzle,material.body
