Tick,Attribute.Component,Origin
0,material.heater,material.heater
1,material.body,material.body
2,power.heater,power.heater
2,temperature.heater,material.body
2,material.nozzle,material.body
3,material.heater,material.heater
3,material.nozzle,power.heater
4,geometry.fan,geometry.fan
4,geometry.heater,power.heater
4,geometry.body,temperature.heater
4,temperature.motor,material.body
4,power.fan,material.body
4,geometry.heater,material.body
4,geometry.nozzle,material.body
4,temperature.nozzle,material.body
5,geometry.motor,power.heater
5,power.fan,power.heater
5,temperature.motor,temperature.heater
5,power.fan,temperature.heater
5,rot.speed.fan,material.nozzle
5,temperature.heater,temperature.nozzle
5,material.fan,material.body
5,material.heater,material.body
5,geometry.body,material.body
6,power.heater,geometry.fan
6,temperature.motor,geometry.nozzle
6,power.fan,geometry.nozzle
6,material.motor,material.body
7,geometry.fan,geometry.motor
7,geometry.heater,material.motor
7,temperature.nozzle,material.nozzle
8,temperature.motor,geometry.motor
8,temperature.nozzle,rot.speed.fan
8,geometry.heater,material.fan
8,geometry.nozzle,material.fan
9,material.heater,geometry.motor
10,material.motor,geometry.motor
10,power.fan,geometry.motor
10,temperature.motor,rot.speed.fan
10,geometry.fan,material.fan
10,geometry.nozzle,geometry.body
10,material.nozzle,geometry.body
10,geometry.body,geometry.body
11,power.motor,power.motor
11,material.motor,rot.speed.fan
11,geometry.fan,geometry.heater
