Tick,Attribute.Component,Origin
0,geometry.fan,geometry.fan
0,temperature.heater,temperature.heater
1,geometry.motor,geometry.motor
1,material.heater,material.heater
1,temperature.nozzle,temperature.heater
1,material.body,temperature.heater
2,material.fan,material.fan
2,temperature.motor,temperature.heater
2,geometry.body,temperature.heater
3,geometry.fan,geometry.motor
3,power.fan,power.fan
3,power.heater,power.heater
3,power.fan,temperature.heater
3,rot.speed.fan,temperature.nozzle
3,material.body,temperature.nozzle
4,geometry.nozzle,temperature.motor
4,material.nozzle,power.heater
4,geometry.nozzle,temperature.heater
4,geometry.nozzle,temperature.nozzle
4,material.nozzle,material.body
5,temperature.motor,geometry.motor
5,geometry.heater,material.fan
5,geometry.motor,power.fan
5,geometry.nozzle,power.fan
5,geometry.motor,material.heater
5,material.body,material.heater
5,material.heater,temperature.nozzle
5,material.nozzle,temperature.nozzle
6,power.heater,geometry.fan
6,material.nozzle,rot.speed.fan
6,material.body,power.fan
7,power.fan,geometry.fan
7,geometry.heater,geometry.fan
7,temperature.motor,rot.speed.fan
7,geometry.motor,material.fan
7,geometry.fan,material.fan
7,material.nozzle,material.fan
7,material.body,geometry.nozzle
7,geometry.nozzle,geometry.body
7,material.body,geometry.body
8,power.fan,power.heater
8,material.nozzle,geometry.body
8,geometry.body,geometry.body
9,geometry.nozzle,material.fan
9,material.motor,geometry.heater
9,material.body,geometry.heater
9,geometry.heater,power.heater
11,power.heater,geometry.motor
11,power.motor,power.motor
11,material.motor,temperature.motor
11,geometry.heater,temperature.motor
11,material.body,material.fan
11,geometry.motor,temperature.nozzle
