Tick,Attribute.Component,Origin
0,material.motor,material.motor
0,temperature.motor,temperature.motor
0,power.fan,power.fan
1,geometry.motor,geometry.motor
1,material.fan,material.fan
1,material.body,power.fan
1,material.heater,material.heater
2,temperature.heater,temperature.motor
2,geometry.nozzle,temperature.motor
2,rot.speed.fan,rot.speed.fan
2,geometry.nozzle,power.fan
2,power.heater,power.heater
3,geometry.heater,material.motor
3,geometry.fan,geometry.fan
3,geometry.motor,power.fan
3,power.heater,power.fan
3,temperature.heater,power.fan
3,geometry.heater,material.body
3,temperature.heater,material.body
3,temperature.nozzle,material.body
4,temperature.motor,material.motor
4,geometry.heater,material.fan
4,geometry.nozzle,material.fan
4,material.heater,material.heater
4,material.nozzle,power.heater
4,temperature.heater,temperature.nozzle
4,geometry.nozzle,material.body
4,geometry.body,material.body
5,geometry.fan,geometry.motor
5,geometry.motor,material.motor
5,material.body,material.motor
5,temperature.nozzle,rot.speed.fan
5,material.nozzle,material.fan
5,geometry.heater,power.fan
5,geometry.heater,power.heater
6,rot.speed.fan,material.motor
6,geometry.motor,material.fan
6,geometry.fan,material.fan
6,geometry.body,temperature.heater
6,material.body,material.nozzle
7,geometry.motor,temperature.motor
7,temperature.nozzle,geometry.nozzle
8,geometry.heater,temperature.motor
8,material.nozzle,rot.speed.fan
8,material.body,material.heater
9,temperature.nozzle,material.heater
10,power.heater,material.motor
10,power.motor,power.motor
10,power.fan,geometry.fan
10,geometry.heater,geometry.fan
10,geometry.fan,geometry.nozzle
10,geometry.body,geometry.nozzle
