Tick,Attribute.Component,Origin
1,geometry.fan,geometry.fan
1,rot.speed.fan,rot.speed.fan
2,geometry.motor,geometry.motor
2,material.motor,material.motor
2,temperature.heater,temperature.heater
2,material.body,material.body
3,geometry.motor,geometry.fan
3,power.heater,geometry.fan
3,material.nozzle,rot.speed.fan
3,temperature.motor,temperature.heater
4,geometry.heater,geometry.fan
4,material.heater,material.heater
4,geometry.body,temperature.heater
4,power.heater,material.nozzle
4,power.fan,material.body
4,geometry.heater,material.body
4,material.nozzle,material.body
4,temperature.nozzle,material.body
5,power.fan,geometry.motor
5,geometry.nozzle,temperature.motor
5,temperature.motor,rot.speed.fan
5,temperature.nozzle,rot.speed.fan
5,material.motor,geometry.heater
5,power.fan,temperature.heater
5,temperature.nozzle,temperature.heater
6,power.heater,geometry.motor
6,material.fan,geometry.fan
6,geometry.body,material.nozzle
6,material.heater,material.body
6,geometry.nozzle,material.body
7,temperature.motor,geometry.motor
7,material.motor,rot.speed.fan
7,geometry.nozzle,power.fan
7,material.fan,geometry.heater
7,power.heater,geometry.heater
7,material.body,temperature.heater
7,material.fan,material.nozzle
7,geometry.nozzle,temperature.nozzle
8,material.motor,geometry.motor
8,material.fan,geometry.motor
8,power.heater,power.fan
8,temperature.motor,geometry.heater
8,power.fan,geometry.heater
8,temperature.nozzle,material.nozzle
9,material.heater,material.heater
9,material.body,geometry.body
10,power.motor,power.motor
10,power.motor,geometry.heater
