Tick,Attribute.Component,Origin
0,geometry.fan,geometry.fan
0,rot.speed.fan,rot.speed.fan
0,material.heater,material.heater
0,temperature.heater,temperature.heater
1,material.fan,material.fan
1,temperature.motor,temperature.heater
1,temperature.nozzle,temperature.heater
2,geometry.motor,geometry.motor
2,geometry.body,temperature.heater
3,geometry.motor,geometry.fan
3,temperature.nozzle,rot.speed.fan
3,power.fan,power.fan
3,power.heater,power.heater
3,geometry.nozzle,geometry.nozzle
4,geometry.nozzle,temperature.motor
4,material.body,temperature.motor
4,geometry.heater,geometry.fan
4,geometry.heater,material.fan
4,geometry.motor,material.heater
4,temperature.nozzle,material.heater
4,material.body,material.heater
4,material.nozzle,power.heater
5,geometry.motor,temperature.motor
5,material.motor,temperature.motor
5,rot.speed.fan,temperature.motor
5,geometry.heater,temperature.motor
5,material.fan,geometry.fan
5,geometry.nozzle,power.fan
5,power.fan,power.heater
5,geometry.heater,power.heater
5,power.fan,temperature.heater
5,material.body,material.nozzle
6,geometry.heater,material.motor
6,material.body,power.fan
6,material.heater,material.heater
6,rot.speed.fan,material.nozzle
6,geometry.body,material.nozzle
6,geometry.nozzle,temperature.nozzle
7,power.fan,geometry.motor
7,power.fan,geometry.fan
7,material.body,temperature.heater
8,power.motor,power.motor
8,material.body,geometry.heater
8,geometry.motor,power.heater
8,material.motor,power.heater
8,geometry.nozzle,temperature.heater
