Tick,Attribute.Component,Origin
0,material.motor,material.motor
0,geometry.fan,geometry.fan
0,rot.speed.fan,rot.speed.fan
0,power.heater,power.heater
1,geometry.heater,material.motor
1,material.fan,material.fan
1,material.body,material.body
2,temperature.nozzle,rot.speed.fan
2,power.fan,power.fan
2,geometry.fan,power.heater
2,material.nozzle,power.heater
3,material.body,power.fan
3,material.body,geometry.heater
3,geometry.nozzle,geometry.nozzle
3,material.body,material.nozzle
4,geometry.motor,geometry.motor
4,temperature.motor,material.motor
4,geometry.motor,geometry.fan
4,temperature.motor,rot.speed.fan
4,material.nozzle,rot.speed.fan
4,geometry.heater,material.fan
4,geometry.motor,power.fan
4,power.heater,power.fan
4,geometry.nozzle,power.fan
5,geometry.motor,material.motor
5,material.body,material.motor
5,temperature.heater,power.fan
5,material.heater,temperature.nozzle
5,material.body,temperature.nozzle
6,rot.speed.fan,material.motor
6,temperature.heater,temperature.motor
6,geometry.nozzle,temperature.motor
6,geometry.heater,geometry.fan
6,geometry.fan,material.fan
6,geometry.heater,power.fan
6,geometry.heater,power.heater
6,geometry.nozzle,temperature.nozzle
6,material.nozzle,temperature.nozzle
7,geometry.motor,temperature.motor
7,geometry.motor,power.heater
7,material.motor,power.heater
7,material.body,temperature.heater
8,power.motor,power.motor
8,geometry.heater,temperature.motor
8,geometry.motor,material.fan
8,geometry.nozzle,material.fan
