Tick,Attribute.Component,Origin
0,power.fan,power.fan
1,rot.speed.fan,rot.speed.fan
1,material.body,power.fan
1,power.heater,power.heater
2,geometry.nozzle,power.fan
2,temperature.heater,material.body
2,material.nozzle,material.body
3,geometry.motor,geometry.motor
3,temperature.nozzle,rot.speed.fan
3,geometry.motor,power.fan
3,geometry.heater,power.heater
3,material.nozzle,power.heater
3,temperature.motor,temperature.heater
4,material.nozzle,rot.speed.fan
4,geometry.heater,power.fan
4,power.heater,power.fan
4,temperature.heater,power.fan
4,temperature.motor,geometry.nozzle
4,material.body,geometry.nozzle
4,temperature.heater,temperature.nozzle
5,power.motor,power.motor
5,temperature.motor,rot.speed.fan
5,material.fan,geometry.nozzle
6,geometry.fan,geometry.fan
6,material.body,geometry.heater
6,temperature.nozzle,geometry.nozzle
7,material.heater,material.heater
7,geometry.body,geometry.nozzle
7,geometry.body,material.nozzle
8,material.motor,geometry.motor
8,temperature.motor,geometry.motor
8,power.heater,geometry.motor
8,geometry.motor,geometry.fan
8,geometry.heater,material.fan
8,geometry.fan,power.fan
8,geometry.fan,geometry.nozzle
8,material.body,temperature.nozzle
