Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.fan,material.fan,
0.0,material.heater,material.heater,
0.0,power.heater,power.heater,
0.0,geometry.nozzle,geometry.nozzle,
0.0,material.body,material.body,
1.0,geometry.motor,geometry.motor,
1.0,material.nozzle,power.heater,
1.0,power.fan,material.body,
2.0,geometry.fan,geometry.fan,
2.0,temperature.heater,temperature.heater,
2.0,temperature.motor,geometry.nozzle,
2.0,power.fan,geometry.nozzle,
2.0,material.body,geometry.nozzle,
3.0,temperature.heater,temperature.motor,
3.0,rot.speed.fan,rot.speed.fan,
3.0,geometry.heater,material.fan,
3.0,geometry.nozzle,material.fan,
3.0,power.fan,power.heater,
3.0,geometry.heater,power.heater,
3.0,rot.speed.fan,material.nozzle,
3.0,geometry.body,material.nozzle,
3.0,material.body,material.nozzle,
4.0,geometry.fan,geometry.motor,
4.0,power.heater,geometry.motor,
4.0,material.body,material.heater,
4.0,temperature.nozzle,temperature.heater,
4.0,material.fan,material.nozzle,
5.0,temperature.motor,geometry.motor,
5.0,power.fan,geometry.motor,
5.0,material.heater,geometry.motor,
5.0,temperature.nozzle,rot.speed.fan,
5.0,temperature.nozzle,material.nozzle,
5.0,temperature.heater,material.body,
6.0,material.motor,geometry.motor,
6.0,power.heater,geometry.fan,
6.0,material.body,geometry.heater,
6.0,temperature.nozzle,geometry.nozzle,
7.0,temperature.motor,rot.speed.fan,
7.0,power.motor,geometry.heater,
7.0,temperature.motor,geometry.heater,
7.0,power.fan,geometry.heater,
7.0,geometry.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
