Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.fan,geometry.fan,
0.0,material.fan,material.fan,
0.0,material.body,material.body,
1.0,geometry.nozzle,geometry.nozzle,
1.0,power.fan,material.body,
1.0,material.nozzle,material.body,
2.0,power.heater,power.heater,
2.0,temperature.heater,material.body,
2.0,geometry.nozzle,material.body,
3.0,geometry.heater,material.fan,
3.0,geometry.nozzle,power.fan,
3.0,temperature.motor,temperature.heater,
3.0,rot.speed.fan,material.nozzle,
3.0,power.heater,material.nozzle,
3.0,geometry.body,material.nozzle,
4.0,geometry.motor,geometry.motor,
4.0,material.motor,material.motor,
4.0,material.body,material.fan,
4.0,temperature.heater,power.fan,
4.0,material.motor,geometry.heater,
5.0,geometry.nozzle,temperature.motor,
5.0,geometry.motor,geometry.fan,
5.0,material.fan,geometry.fan,
5.0,temperature.nozzle,rot.speed.fan,
5.0,geometry.heater,power.fan,
5.0,geometry.fan,power.heater,
5.0,geometry.heater,power.heater,
5.0,temperature.nozzle,temperature.heater,
5.0,temperature.heater,geometry.body,
6.0,temperature.nozzle,material.nozzle,
6.0,material.body,geometry.body,
7.0,geometry.motor,temperature.motor,
7.0,material.motor,temperature.motor,
7.0,geometry.heater,temperature.motor,
7.0,material.motor,power.heater,
7.0,temperature.nozzle,geometry.nozzle,
8.0,power.motor,power.motor,
8.0,rot.speed.fan,temperature.motor,
8.0,geometry.nozzle,material.fan,
8.0,geometry.motor,power.fan,
8.0,power.heater,power.fan,
8.0,geometry.body,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
