Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,material.body,material.body,
1.0,material.motor,material.motor,
1.0,power.fan,power.fan,
1.0,power.fan,material.body,
1.0,material.nozzle,material.body,
2.0,geometry.fan,geometry.motor,
2.0,geometry.heater,material.motor,
2.0,geometry.heater,material.body,
2.0,geometry.nozzle,material.body,
3.0,temperature.motor,geometry.motor,
3.0,rot.speed.fan,rot.speed.fan,
3.0,geometry.motor,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,temperature.heater,material.body,
3.0,geometry.body,material.body,
4.0,power.heater,power.fan,
4.0,temperature.heater,power.fan,
4.0,rot.speed.fan,material.nozzle,
4.0,power.heater,material.nozzle,
4.0,temperature.motor,material.body,
4.0,material.heater,material.body,
4.0,temperature.nozzle,material.body,
5.0,temperature.motor,material.motor,
5.0,temperature.motor,temperature.heater,
5.0,temperature.motor,geometry.nozzle,
5.0,temperature.heater,geometry.body,
6.0,geometry.motor,material.motor,
6.0,rot.speed.fan,material.motor,
6.0,material.body,material.motor,
6.0,power.motor,power.motor,
6.0,power.motor,geometry.heater,
6.0,temperature.motor,geometry.heater,
6.0,power.heater,geometry.heater,
6.0,temperature.nozzle,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
