Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.motor,material.motor,
0.0,geometry.fan,geometry.fan,
0.0,material.heater,material.heater,
0.0,temperature.heater,temperature.heater,
1.0,geometry.heater,material.motor,
1.0,material.fan,material.fan,
1.0,power.fan,power.fan,
1.0,power.heater,power.heater,
1.0,geometry.body,geometry.body,
1.0,material.body,material.body,
2.0,material.nozzle,power.heater,
2.0,temperature.motor,temperature.heater,
2.0,geometry.body,temperature.heater,
3.0,geometry.nozzle,material.fan,
3.0,power.heater,geometry.heater,
3.0,material.heater,material.heater,
3.0,temperature.nozzle,temperature.heater,
3.0,material.body,material.nozzle,
4.0,geometry.motor,geometry.motor,
4.0,temperature.motor,material.motor,
4.0,geometry.heater,material.fan,
4.0,geometry.motor,power.fan,
4.0,temperature.heater,power.fan,
4.0,geometry.nozzle,power.fan,
4.0,rot.speed.fan,material.nozzle,
4.0,geometry.body,material.nozzle,
4.0,power.fan,material.body,
5.0,geometry.motor,material.motor,
5.0,rot.speed.fan,material.motor,
5.0,material.body,material.motor,
5.0,material.fan,geometry.fan,
5.0,power.fan,geometry.fan,
5.0,power.heater,geometry.fan,
5.0,geometry.nozzle,geometry.fan,
5.0,rot.speed.fan,temperature.nozzle,
6.0,geometry.nozzle,temperature.motor,
6.0,geometry.motor,geometry.fan,
6.0,material.body,geometry.heater,
6.0,temperature.nozzle,material.nozzle,
7.0,geometry.motor,temperature.motor,
7.0,material.body,temperature.motor,
7.0,temperature.nozzle,material.heater,
7.0,material.body,material.heater,
7.0,power.fan,power.heater,
7.0,material.body,geometry.body,
8.0,rot.speed.fan,temperature.motor,
8.0,geometry.heater,temperature.motor,
8.0,geometry.motor,material.heater,
8.0,material.body,geometry.nozzle,
9.0,temperature.nozzle,geometry.nozzle,
9.0,geometry.body,geometry.body,
9.0,temperature.heater,material.body,
10.0,temperature.nozzle,material.body,
11.0,power.heater,geometry.motor,
11.0,geometry.heater,geometry.fan,
11.0,geometry.motor,material.fan,
12.0,power.heater,material.motor,
12.0,power.motor,power.motor,
12.0,geometry.heater,power.fan,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
