Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,power.motor,power.motor,
0.0,material.heater,material.heater,
1.0,geometry.body,geometry.body,
2.0,rot.speed.fan,rot.speed.fan,
2.0,material.heater,material.heater,
2.0,power.heater,power.heater,
3.0,temperature.motor,geometry.motor,
3.0,geometry.fan,geometry.motor,
3.0,power.heater,geometry.motor,
3.0,material.fan,material.fan,
3.0,material.body,material.body,
4.0,power.fan,geometry.motor,
4.0,temperature.heater,temperature.motor,
4.0,material.nozzle,rot.speed.fan,
4.0,material.nozzle,power.heater,
4.0,temperature.heater,geometry.body,
4.0,power.fan,material.body,
5.0,material.motor,geometry.motor,
5.0,geometry.heater,power.motor,
5.0,geometry.nozzle,temperature.motor,
5.0,temperature.nozzle,rot.speed.fan,
5.0,power.fan,power.heater,
5.0,material.body,material.nozzle,
5.0,material.body,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
