Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,power.fan,power.fan,
1.0,geometry.body,geometry.body,
1.0,material.body,material.body,
2.0,temperature.motor,temperature.motor,
2.0,geometry.fan,geometry.fan,
2.0,material.nozzle,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
2.0,power.heater,power.fan,
2.0,geometry.nozzle,power.fan,
2.0,material.nozzle,material.body,
3.0,geometry.motor,geometry.motor,
3.0,power.motor,power.motor,
3.0,temperature.heater,temperature.motor,
3.0,material.fan,material.fan,
3.0,geometry.motor,power.fan,
3.0,material.heater,material.heater,
3.0,temperature.heater,temperature.nozzle,
3.0,temperature.heater,geometry.body,
3.0,power.fan,material.body,
3.0,geometry.heater,material.body,
3.0,geometry.nozzle,material.body,
4.0,geometry.nozzle,temperature.motor,
4.0,temperature.motor,rot.speed.fan,
4.0,geometry.heater,power.heater,
4.0,power.heater,material.nozzle,
5.0,geometry.motor,geometry.fan,
5.0,material.heater,temperature.nozzle,
5.0,geometry.nozzle,temperature.nozzle,
5.0,material.body,geometry.body,
6.0,material.motor,rot.speed.fan,
6.0,geometry.fan,power.heater,
6.0,power.fan,temperature.heater,
6.0,material.body,temperature.heater,
6.0,temperature.nozzle,material.nozzle,
6.0,geometry.nozzle,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
