Tick,Attribute.Component,Origin,Failed Behaviour
0.0,temperature.motor,temperature.motor,
0.0,geometry.fan,geometry.fan,
0.0,material.fan,material.fan,
0.0,power.fan,power.fan,
2.0,material.motor,material.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,geometry.motor,geometry.fan,
2.0,power.heater,geometry.fan,
2.0,rot.speed.fan,rot.speed.fan,
2.0,geometry.nozzle,power.fan,
3.0,geometry.heater,material.motor,
3.0,temperature.heater,temperature.motor,
3.0,material.body,temperature.motor,
3.0,geometry.heater,geometry.fan,
3.0,material.nozzle,material.fan,
3.0,temperature.heater,power.fan,
4.0,material.motor,temperature.motor,
4.0,rot.speed.fan,temperature.motor,
4.0,geometry.heater,temperature.motor,
4.0,power.fan,geometry.fan,
4.0,power.fan,power.heater,
4.0,material.body,temperature.heater,
4.0,material.fan,geometry.nozzle,
4.0,temperature.nozzle,geometry.nozzle,
4.0,material.body,geometry.nozzle,
4.0,power.heater,material.nozzle,
4.0,material.body,material.nozzle,
5.0,geometry.motor,temperature.motor,
5.0,material.fan,geometry.fan,
5.0,material.body,power.fan,
5.0,geometry.body,temperature.heater,
5.0,geometry.body,material.nozzle,
6.0,power.motor,power.motor,
6.0,geometry.motor,power.fan,
6.0,material.body,geometry.heater,
6.0,geometry.heater,power.heater,
6.0,rot.speed.fan,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
