Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,temperature.motor,temperature.motor,
0.0,geometry.fan,geometry.fan,
0.0,material.body,material.body,
1.0,temperature.heater,temperature.motor,
1.0,material.fan,material.fan,
1.0,power.fan,power.fan,
1.0,power.fan,material.body,
1.0,material.nozzle,material.body,
2.0,geometry.motor,geometry.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,geometry.motor,geometry.fan,
2.0,material.heater,material.heater,
2.0,power.heater,material.nozzle,
2.0,geometry.nozzle,material.body,
2.0,temperature.nozzle,material.body,
3.0,geometry.motor,temperature.motor,
3.0,geometry.heater,geometry.fan,
3.0,power.heater,power.fan,
3.0,material.body,temperature.heater,
3.0,rot.speed.fan,material.nozzle,
4.0,material.motor,temperature.motor,
4.0,rot.speed.fan,temperature.motor,
4.0,geometry.heater,temperature.motor,
4.0,material.body,temperature.motor,
4.0,geometry.motor,power.fan,
4.0,temperature.heater,power.fan,
4.0,power.fan,geometry.nozzle,
4.0,temperature.nozzle,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
