Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
3.0,material.nozzle,rot.speed.fan,
3.0,power.heater,power.heater,
3.0,geometry.nozzle,geometry.nozzle,
4.0,temperature.motor,rot.speed.fan,
4.0,power.fan,power.fan,
4.0,material.heater,material.heater,
4.0,material.nozzle,power.heater,
4.0,geometry.nozzle,temperature.nozzle,
5.0,temperature.heater,temperature.motor,
5.0,geometry.fan,geometry.fan,
5.0,material.motor,rot.speed.fan,
5.0,power.fan,power.heater,
5.0,geometry.heater,power.heater,
5.0,material.heater,temperature.nozzle,
5.0,geometry.body,geometry.body,
6.0,geometry.nozzle,temperature.motor,
6.0,material.body,power.fan,
6.0,material.motor,geometry.heater,
6.0,material.motor,power.heater,
6.0,geometry.fan,power.heater,
6.0,geometry.body,material.nozzle,
6.0,material.body,material.nozzle,
6.0,material.nozzle,temperature.nozzle,
6.0,material.body,temperature.nozzle,
7.0,geometry.nozzle,power.fan,
7.0,material.body,geometry.heater,
8.0,geometry.motor,temperature.motor,
8.0,material.motor,temperature.motor,
8.0,geometry.heater,temperature.motor,
8.0,material.body,temperature.motor,
8.0,material.fan,material.fan,
8.0,temperature.heater,power.fan,
8.0,material.heater,material.heater,
8.0,temperature.heater,temperature.nozzle,
8.0,temperature.heater,geometry.body,
9.0,geometry.motor,geometry.fan,
9.0,geometry.fan,power.fan,
9.0,material.body,geometry.nozzle,
9.0,material.fan,material.nozzle,
10.0,geometry.motor,power.fan,
10.0,material.body,geometry.body,
11.0,material.fan,geometry.heater,
11.0,temperature.heater,geometry.nozzle,
11.0,temperature.heater,material.body,
12.0,geometry.heater,geometry.fan,
12.0,material.body,material.heater,
12.0,geometry.body,geometry.nozzle,
13.0,geometry.motor,material.motor,
13.0,material.body,material.motor,
13.0,geometry.heater,power.fan,
13.0,geometry.motor,material.heater,
14.0,material.fan,geometry.fan,
14.0,material.fan,geometry.nozzle,
15.0,geometry.motor,power.heater,
16.0,geometry.nozzle,geometry.fan,
16.0,material.body,rot.speed.fan,
18.0,material.body,material.fan,
18.0,geometry.body,geometry.body,
19.0,geometry.motor,temperature.nozzle,
20.0,power.motor,power.motor,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
