Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,power.heater,power.heater,
0.0,geometry.body,geometry.body,
1.0,material.nozzle,power.heater,
1.0,temperature.heater,temperature.heater,
2.0,power.fan,geometry.motor,
2.0,material.fan,material.fan,
2.0,geometry.heater,power.heater,
2.0,temperature.nozzle,temperature.heater,
3.0,geometry.fan,geometry.fan,
3.0,rot.speed.fan,rot.speed.fan,
3.0,material.body,power.fan,
3.0,geometry.fan,power.heater,
3.0,temperature.motor,temperature.heater,
3.0,geometry.body,temperature.heater,
3.0,rot.speed.fan,material.nozzle,
4.0,power.motor,geometry.motor,
4.0,temperature.motor,geometry.motor,
4.0,geometry.fan,geometry.motor,
4.0,material.motor,geometry.heater,
4.0,power.fan,temperature.heater,
4.0,material.body,temperature.heater,
4.0,geometry.nozzle,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
