Tick,Attribute.Component,Origin,Failed Behaviour
0.0,temperature.motor,temperature.motor,
0.0,power.fan,power.fan,
0.0,material.heater,material.heater,
1.0,geometry.motor,geometry.motor,
1.0,power.motor,power.motor,
1.0,temperature.heater,temperature.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,geometry.nozzle,power.fan,
2.0,material.body,power.fan,
2.0,material.body,temperature.heater,
2.0,geometry.body,geometry.body,
3.0,geometry.fan,geometry.motor,
3.0,power.fan,geometry.motor,
3.0,material.body,temperature.motor,
3.0,temperature.nozzle,material.heater,
3.0,temperature.nozzle,temperature.heater,
4.0,temperature.motor,geometry.motor,
4.0,rot.speed.fan,rot.speed.fan,
4.0,material.body,material.heater,
4.0,power.fan,temperature.heater,
4.0,geometry.body,temperature.heater,
4.0,material.body,geometry.nozzle,
5.0,geometry.motor,material.heater,
5.0,rot.speed.fan,temperature.nozzle,
5.0,material.nozzle,material.body,
6.0,geometry.heater,power.motor,
6.0,geometry.heater,geometry.fan,
6.0,power.heater,power.heater,
6.0,temperature.nozzle,geometry.nozzle,
6.0,power.heater,material.nozzle,
6.0,geometry.heater,material.body,
7.0,material.nozzle,rot.speed.fan,
7.0,material.fan,material.fan,
7.0,power.heater,power.fan,
7.0,material.heater,material.heater,
7.0,geometry.fan,geometry.nozzle,
7.0,geometry.body,geometry.nozzle,
7.0,geometry.body,material.body,
8.0,material.motor,temperature.motor,
8.0,rot.speed.fan,temperature.motor,
8.0,geometry.heater,temperature.motor,
8.0,geometry.heater,power.fan,
8.0,material.body,temperature.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
