Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,power.fan,power.fan,
1.0,rot.speed.fan,rot.speed.fan,
1.0,material.heater,material.heater,
1.0,temperature.heater,temperature.heater,
2.0,geometry.motor,power.fan,
2.0,geometry.nozzle,power.fan,
2.0,temperature.motor,temperature.heater,
3.0,material.nozzle,rot.speed.fan,
3.0,material.fan,material.fan,
3.0,temperature.heater,power.fan,
3.0,material.heater,material.heater,
3.0,power.heater,power.heater,
3.0,material.body,material.body,
4.0,geometry.heater,power.motor,
4.0,material.body,power.fan,
4.0,temperature.motor,geometry.nozzle,
4.0,material.body,geometry.nozzle,
4.0,power.heater,material.nozzle,
4.0,material.body,material.nozzle,
5.0,geometry.fan,geometry.motor,
5.0,temperature.motor,rot.speed.fan,
5.0,temperature.nozzle,rot.speed.fan,
5.0,geometry.fan,power.fan,
5.0,power.heater,power.fan,
5.0,geometry.body,temperature.heater,
5.0,material.body,temperature.heater,
6.0,material.heater,geometry.motor,
6.0,geometry.heater,material.fan,
6.0,geometry.heater,power.fan,
6.0,temperature.heater,temperature.nozzle,
7.0,material.motor,geometry.motor,
7.0,material.fan,geometry.motor,
7.0,material.motor,power.heater,
7.0,geometry.heater,power.heater,
7.0,geometry.nozzle,temperature.nozzle,
7.0,material.body,temperature.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
