Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,temperature.heater,temperature.heater,
1.0,power.motor,power.motor,
1.0,geometry.fan,geometry.fan,
1.0,power.fan,power.fan,
1.0,material.heater,material.heater,
2.0,rot.speed.fan,rot.speed.fan,
2.0,material.body,power.fan,
2.0,material.body,temperature.heater,
2.0,geometry.nozzle,geometry.nozzle,
3.0,geometry.fan,geometry.motor,
3.0,temperature.motor,temperature.motor,
3.0,power.heater,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,power.fan,temperature.heater,
4.0,material.nozzle,rot.speed.fan,
4.0,temperature.nozzle,rot.speed.fan,
4.0,material.heater,material.heater,
4.0,material.nozzle,power.heater,
4.0,temperature.motor,temperature.heater,
4.0,geometry.body,temperature.heater,
4.0,material.nozzle,material.body,
4.0,temperature.nozzle,material.body,
5.0,material.motor,geometry.motor,
5.0,temperature.motor,geometry.motor,
5.0,material.heater,geometry.motor,
5.0,geometry.motor,power.fan,
5.0,geometry.heater,power.heater,
5.0,material.body,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
