Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.fan,material.fan,
0.0,temperature.heater,temperature.heater,
2.0,rot.speed.fan,rot.speed.fan,
2.0,power.fan,power.fan,
2.0,temperature.motor,temperature.heater,
2.0,temperature.nozzle,temperature.heater,
2.0,geometry.body,temperature.heater,
3.0,geometry.heater,material.fan,
3.0,material.body,material.fan,
3.0,power.fan,temperature.heater,
4.0,material.nozzle,rot.speed.fan,
4.0,power.heater,power.heater,
4.0,material.body,temperature.nozzle,
5.0,geometry.motor,temperature.motor,
5.0,geometry.nozzle,temperature.motor,
5.0,material.body,temperature.motor,
5.0,geometry.fan,material.fan,
5.0,geometry.nozzle,power.fan,
5.0,material.body,geometry.heater,
5.0,material.heater,material.heater,
5.0,geometry.nozzle,temperature.heater,
5.0,material.body,temperature.heater,
5.0,power.heater,material.nozzle,
5.0,rot.speed.fan,temperature.nozzle,
5.0,material.heater,temperature.nozzle,
5.0,geometry.nozzle,temperature.nozzle,
5.0,material.body,geometry.body,
6.0,material.motor,temperature.motor,
6.0,geometry.heater,temperature.motor,
6.0,geometry.motor,material.fan,
6.0,geometry.body,material.nozzle,
6.0,power.fan,material.body,
7.0,rot.speed.fan,temperature.motor,
7.0,geometry.nozzle,material.fan,
7.0,geometry.fan,power.heater,
7.0,material.nozzle,temperature.nozzle,
8.0,geometry.fan,geometry.motor,
8.0,geometry.motor,power.heater,
8.0,power.fan,power.heater,
8.0,geometry.heater,power.heater,
9.0,geometry.motor,material.heater,
9.0,material.body,material.heater,
9.0,material.body,geometry.nozzle,
9.0,geometry.motor,temperature.nozzle,
10.0,power.motor,power.motor,
10.0,material.motor,geometry.heater,
10.0,material.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
