Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,rot.speed.fan,rot.speed.fan,
1.0,temperature.motor,temperature.motor,
1.0,geometry.fan,geometry.fan,
2.0,material.nozzle,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
2.0,material.fan,material.fan,
2.0,material.heater,material.heater,
3.0,geometry.motor,geometry.motor,
3.0,temperature.heater,temperature.motor,
3.0,geometry.nozzle,temperature.motor,
4.0,geometry.heater,power.motor,
4.0,material.body,temperature.motor,
4.0,temperature.motor,rot.speed.fan,
4.0,geometry.body,material.nozzle,
4.0,material.body,temperature.nozzle,
5.0,material.motor,rot.speed.fan,
5.0,geometry.heater,material.fan,
5.0,temperature.nozzle,temperature.heater,
5.0,geometry.body,temperature.heater,
5.0,power.heater,material.nozzle,
5.0,material.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
