Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,temperature.heater,temperature.heater,
0.0,geometry.nozzle,geometry.nozzle,
1.0,geometry.motor,geometry.motor,
1.0,temperature.motor,temperature.motor,
1.0,power.heater,power.heater,
1.0,temperature.motor,temperature.heater,
1.0,temperature.nozzle,temperature.heater,
1.0,material.body,material.body,
2.0,material.motor,material.motor,
2.0,geometry.fan,geometry.fan,
2.0,rot.speed.fan,rot.speed.fan,
2.0,material.nozzle,power.heater,
2.0,geometry.body,temperature.heater,
2.0,temperature.motor,geometry.nozzle,
2.0,power.fan,geometry.nozzle,
2.0,material.body,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
