Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,geometry.fan,geometry.fan,
0.0,rot.speed.fan,rot.speed.fan,
0.0,temperature.heater,temperature.heater,
0.0,geometry.nozzle,geometry.nozzle,
1.0,temperature.motor,temperature.motor,
2.0,temperature.heater,temperature.motor,
2.0,power.heater,geometry.fan,
2.0,power.fan,power.fan,
2.0,temperature.motor,geometry.nozzle,
2.0,material.fan,geometry.nozzle,
2.0,power.fan,geometry.nozzle,
2.0,temperature.nozzle,geometry.nozzle,
3.0,temperature.motor,geometry.motor,
3.0,geometry.motor,geometry.fan,
3.0,temperature.nozzle,rot.speed.fan,
3.0,material.body,temperature.heater,
4.0,power.fan,geometry.fan,
4.0,temperature.motor,rot.speed.fan,
4.0,material.nozzle,rot.speed.fan,
4.0,material.heater,material.heater,
4.0,power.fan,power.heater,
4.0,material.nozzle,power.heater,
4.0,geometry.body,temperature.heater,
4.0,material.body,geometry.nozzle,
5.0,material.fan,geometry.fan,
5.0,geometry.nozzle,geometry.fan,
5.0,material.motor,rot.speed.fan,
5.0,geometry.heater,power.heater,
5.0,power.fan,temperature.heater,
6.0,power.fan,geometry.motor,
6.0,geometry.heater,material.motor,
6.0,material.body,material.nozzle,
6.0,material.heater,temperature.nozzle,
7.0,material.body,temperature.motor,
7.0,geometry.body,material.nozzle,
7.0,material.nozzle,temperature.nozzle,
8.0,material.motor,geometry.motor,
8.0,power.motor,power.motor,
8.0,material.motor,temperature.motor,
8.0,geometry.heater,temperature.motor,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
