Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.heater,material.heater,
0.0,power.heater,power.heater,
1.0,material.motor,material.motor,
1.0,power.motor,power.motor,
1.0,material.nozzle,power.heater,
1.0,geometry.nozzle,geometry.nozzle,
2.0,material.fan,material.fan,
2.0,power.fan,power.heater,
3.0,geometry.fan,geometry.fan,
3.0,temperature.motor,geometry.nozzle,
3.0,power.fan,geometry.nozzle,
3.0,material.body,geometry.nozzle,
3.0,rot.speed.fan,material.nozzle,
4.0,geometry.heater,material.motor,
4.0,temperature.heater,temperature.motor,
4.0,geometry.nozzle,material.fan,
4.0,material.body,power.fan,
4.0,geometry.motor,material.heater,
4.0,material.body,material.heater,
4.0,material.motor,power.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
