Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,geometry.fan,geometry.fan,
0.0,power.heater,power.heater,
0.0,geometry.body,geometry.body,
1.0,material.fan,material.fan,
1.0,power.fan,power.fan,
1.0,material.heater,material.heater,
2.0,temperature.heater,geometry.body,
3.0,geometry.motor,geometry.fan,
3.0,rot.speed.fan,rot.speed.fan,
3.0,power.fan,power.heater,
3.0,geometry.heater,power.heater,
3.0,material.nozzle,power.heater,
4.0,geometry.heater,geometry.fan,
4.0,geometry.heater,material.fan,
4.0,material.nozzle,material.fan,
4.0,material.body,power.fan,
4.0,material.heater,material.heater,
4.0,temperature.motor,temperature.heater,
4.0,material.body,temperature.heater,
4.0,material.body,geometry.body,
5.0,material.motor,material.motor,
5.0,geometry.heater,power.motor,
5.0,material.fan,geometry.fan,
5.0,material.nozzle,rot.speed.fan,
5.0,geometry.motor,power.fan,
5.0,geometry.nozzle,power.fan,
5.0,geometry.fan,power.heater,
5.0,power.fan,temperature.heater,
5.0,geometry.nozzle,geometry.body,
5.0,geometry.body,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
