Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,geometry.fan,geometry.fan,
1.0,temperature.heater,temperature.heater,
2.0,power.fan,geometry.motor,
2.0,rot.speed.fan,rot.speed.fan,
2.0,material.fan,material.fan,
2.0,power.heater,power.heater,
2.0,temperature.motor,temperature.heater,
3.0,geometry.fan,geometry.motor,
3.0,power.motor,power.motor,
4.0,power.heater,geometry.motor,
4.0,geometry.nozzle,temperature.motor,
4.0,material.nozzle,rot.speed.fan,
4.0,geometry.nozzle,power.fan,
4.0,material.body,power.fan,
4.0,material.heater,material.heater,
4.0,power.fan,temperature.heater,
4.0,temperature.nozzle,temperature.heater,
4.0,geometry.body,temperature.heater,
5.0,material.motor,geometry.motor,
5.0,temperature.motor,geometry.motor,
5.0,material.fan,geometry.motor,
5.0,material.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
