Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,power.fan,power.fan,
0.0,geometry.nozzle,geometry.nozzle,
1.0,material.body,power.fan,
1.0,material.heater,material.heater,
2.0,material.motor,material.motor,
2.0,power.heater,power.fan,
2.0,geometry.nozzle,power.fan,
3.0,geometry.heater,material.motor,
3.0,temperature.heater,power.fan,
3.0,material.nozzle,power.heater,
3.0,geometry.body,geometry.body,
3.0,temperature.nozzle,material.body,
4.0,geometry.fan,geometry.fan,
4.0,material.fan,material.fan,
4.0,geometry.fan,power.fan,
4.0,geometry.heater,power.heater,
4.0,temperature.nozzle,temperature.heater,
4.0,temperature.motor,geometry.nozzle,
4.0,material.body,geometry.nozzle,
4.0,material.body,material.nozzle,
5.0,geometry.heater,power.motor,
5.0,temperature.heater,temperature.motor,
5.0,geometry.heater,power.fan,
5.0,temperature.nozzle,material.heater,
5.0,material.body,material.heater,
5.0,geometry.body,material.nozzle,
6.0,geometry.motor,geometry.motor,
6.0,temperature.motor,material.motor,
6.0,geometry.motor,geometry.fan,
6.0,rot.speed.fan,rot.speed.fan,
6.0,material.fan,geometry.nozzle,
6.0,temperature.nozzle,geometry.nozzle,
6.0,rot.speed.fan,material.nozzle,
6.0,material.fan,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
