Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,material.heater,material.heater,
0.0,temperature.heater,temperature.heater,
1.0,geometry.motor,geometry.motor,
1.0,material.fan,material.fan,
1.0,temperature.motor,temperature.heater,
2.0,geometry.body,temperature.heater,
2.0,material.body,temperature.heater,
3.0,power.fan,geometry.motor,
3.0,geometry.nozzle,temperature.motor,
3.0,power.fan,temperature.heater,
3.0,material.nozzle,material.body,
4.0,geometry.heater,power.motor,
4.0,rot.speed.fan,rot.speed.fan,
4.0,material.heater,material.heater,
4.0,power.heater,power.heater,
4.0,power.heater,material.nozzle,
4.0,material.nozzle,geometry.body,
4.0,geometry.heater,material.body,
5.0,power.motor,geometry.motor,
5.0,power.heater,geometry.motor,
5.0,material.motor,temperature.motor,
5.0,rot.speed.fan,temperature.motor,
5.0,geometry.heater,temperature.motor,
5.0,geometry.heater,material.fan,
5.0,geometry.nozzle,power.fan,
5.0,material.body,power.fan,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
