Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,temperature.heater,temperature.heater,
1.0,geometry.motor,geometry.motor,
1.0,geometry.nozzle,geometry.nozzle,
2.0,material.nozzle,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
2.0,geometry.body,temperature.heater,
2.0,material.body,material.body,
3.0,geometry.fan,geometry.motor,
3.0,power.motor,power.motor,
3.0,temperature.motor,temperature.heater,
3.0,power.fan,temperature.heater,
3.0,temperature.nozzle,temperature.heater,
3.0,temperature.motor,geometry.nozzle,
3.0,power.fan,geometry.nozzle,
3.0,temperature.nozzle,geometry.nozzle,
3.0,material.body,geometry.nozzle,
3.0,power.heater,material.nozzle,
4.0,temperature.motor,geometry.motor,
4.0,temperature.motor,rot.speed.fan,
5.0,geometry.motor,power.fan,
5.0,material.body,power.fan,
5.0,geometry.heater,power.heater,
5.0,material.body,material.nozzle,
5.0,material.body,geometry.body,
6.0,material.motor,rot.speed.fan,
6.0,material.motor,geometry.heater,
6.0,geometry.body,geometry.nozzle,
6.0,temperature.nozzle,material.nozzle,
6.0,geometry.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
