Tick,Attribute.Component,Origin,Failed Behaviour
1.0,material.heater,material.heater,
1.0,geometry.nozzle,geometry.nozzle,
2.0,geometry.fan,geometry.fan,
3.0,rot.speed.fan,rot.speed.fan,
3.0,power.fan,power.fan,
3.0,power.fan,geometry.nozzle,
3.0,temperature.nozzle,geometry.nozzle,
3.0,material.body,geometry.nozzle,
4.0,geometry.motor,geometry.motor,
4.0,power.heater,power.heater,
4.0,temperature.motor,geometry.nozzle,
4.0,power.fan,material.body,
5.0,material.nozzle,rot.speed.fan,
5.0,material.body,material.heater,
5.0,temperature.heater,temperature.heater,
5.0,rot.speed.fan,temperature.nozzle,
6.0,material.motor,material.motor,
6.0,material.fan,material.fan,
6.0,geometry.motor,material.heater,
6.0,material.heater,material.heater,
6.0,material.nozzle,power.heater,
6.0,geometry.body,geometry.nozzle,
7.0,geometry.heater,material.motor,
7.0,geometry.motor,temperature.motor,
7.0,material.body,temperature.motor,
7.0,material.fan,geometry.fan,
7.0,power.heater,geometry.fan,
7.0,power.heater,power.fan,
7.0,temperature.heater,power.fan,
7.0,material.heater,temperature.nozzle,
7.0,material.nozzle,temperature.nozzle,
8.0,power.motor,power.motor,
8.0,material.motor,temperature.motor,
8.0,rot.speed.fan,temperature.motor,
8.0,geometry.heater,temperature.motor,
8.0,temperature.heater,temperature.motor,
8.0,geometry.fan,power.fan,
8.0,geometry.heater,power.fan,
8.0,material.fan,geometry.nozzle,
8.0,temperature.heater,geometry.body,
8.0,temperature.heater,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
