Tick,Attribute.Component,Origin,Failed Behaviour
1.0,temperature.motor,temperature.motor,
1.0,power.fan,power.fan,
1.0,material.heater,material.heater,
2.0,temperature.heater,temperature.motor,
2.0,rot.speed.fan,rot.speed.fan,
3.0,power.heater,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,material.body,power.fan,
4.0,material.nozzle,rot.speed.fan,
4.0,temperature.nozzle,rot.speed.fan,
4.0,temperature.heater,power.fan,
4.0,material.heater,material.heater,
4.0,material.nozzle,power.heater,
5.0,material.motor,temperature.motor,
5.0,rot.speed.fan,temperature.motor,
5.0,geometry.heater,temperature.motor,
5.0,geometry.nozzle,temperature.motor,
5.0,material.fan,material.fan,
5.0,geometry.motor,power.fan,
5.0,geometry.fan,power.heater,
5.0,geometry.heater,power.heater,
5.0,material.body,material.nozzle,
5.0,temperature.heater,temperature.nozzle,
6.0,geometry.heater,material.motor,
6.0,geometry.motor,temperature.motor,
6.0,geometry.nozzle,temperature.nozzle,
7.0,material.body,temperature.motor,
7.0,material.heater,temperature.nozzle,
8.0,geometry.fan,geometry.motor,
8.0,material.body,geometry.heater,
8.0,material.body,geometry.nozzle,
8.0,temperature.nozzle,material.nozzle,
9.0,geometry.heater,material.fan,
9.0,material.nozzle,material.fan,
9.0,material.body,temperature.heater,
10.0,geometry.motor,material.motor,
10.0,material.body,material.motor,
10.0,material.motor,rot.speed.fan,
10.0,geometry.fan,material.fan,
10.0,geometry.heater,power.fan,
10.0,material.body,temperature.nozzle,
11.0,geometry.fan,power.fan,
11.0,material.body,material.heater,
11.0,geometry.fan,geometry.nozzle,
12.0,geometry.motor,material.fan,
12.0,material.motor,power.heater,
12.0,geometry.body,temperature.heater,
12.0,geometry.body,geometry.nozzle,
12.0,geometry.body,material.nozzle,
14.0,geometry.fan,geometry.heater,
15.0,geometry.nozzle,material.fan,
15.0,power.motor,geometry.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
