Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.motor,material.motor,
0.0,power.motor,power.motor,
0.0,temperature.motor,temperature.motor,
1.0,geometry.heater,material.motor,
1.0,power.fan,power.fan,
1.0,temperature.heater,temperature.heater,
1.0,material.body,material.body,
2.0,temperature.heater,temperature.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,material.fan,material.fan,
2.0,material.body,power.fan,
3.0,material.body,geometry.heater,
3.0,material.heater,material.heater,
4.0,temperature.motor,material.motor,
4.0,geometry.heater,power.motor,
4.0,geometry.fan,geometry.fan,
4.0,temperature.heater,power.fan,
4.0,geometry.nozzle,power.fan,
4.0,material.nozzle,material.body,
5.0,geometry.motor,geometry.motor,
5.0,geometry.motor,material.motor,
5.0,material.body,material.motor,
5.0,geometry.heater,material.fan,
5.0,material.nozzle,material.fan,
5.0,material.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
