Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.fan,power.fan,
0.0,power.heater,power.heater,
0.0,temperature.heater,temperature.heater,
1.0,rot.speed.fan,rot.speed.fan,
2.0,geometry.fan,geometry.fan,
2.0,material.fan,material.fan,
2.0,geometry.nozzle,power.fan,
2.0,geometry.heater,power.heater,
2.0,temperature.motor,temperature.heater,
2.0,geometry.body,temperature.heater,
3.0,power.motor,power.motor,
3.0,material.nozzle,rot.speed.fan,
3.0,temperature.nozzle,rot.speed.fan,
3.0,power.heater,power.fan,
3.0,temperature.heater,power.fan,
3.0,material.motor,geometry.heater,
4.0,geometry.nozzle,temperature.motor,
4.0,power.heater,geometry.fan,
4.0,material.body,power.fan,
4.0,material.body,geometry.heater,
4.0,material.body,temperature.heater,
4.0,power.heater,material.nozzle,
4.0,material.body,material.nozzle,
5.0,material.body,temperature.motor,
5.0,geometry.heater,geometry.fan,
5.0,geometry.heater,material.fan,
5.0,geometry.heater,power.fan,
5.0,material.heater,material.heater,
6.0,geometry.motor,temperature.motor,
6.0,material.motor,temperature.motor,
6.0,rot.speed.fan,temperature.motor,
6.0,geometry.heater,temperature.motor,
6.0,geometry.motor,geometry.fan,
6.0,geometry.motor,power.fan,
6.0,temperature.nozzle,geometry.nozzle,
6.0,material.body,geometry.nozzle,
6.0,geometry.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
