Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,material.fan,material.fan,
1.0,geometry.fan,geometry.fan,
1.0,power.fan,power.fan,
1.0,temperature.heater,temperature.heater,
1.0,geometry.nozzle,geometry.nozzle,
1.0,material.body,material.body,
2.0,power.motor,power.motor,
2.0,material.nozzle,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
2.0,material.heater,material.heater,
2.0,power.fan,material.body,
3.0,temperature.motor,temperature.motor,
3.0,geometry.motor,geometry.fan,
3.0,power.heater,power.heater,
3.0,temperature.motor,temperature.heater,
3.0,geometry.body,temperature.heater,
3.0,material.body,temperature.heater,
3.0,temperature.motor,geometry.nozzle,
3.0,power.fan,geometry.nozzle,
3.0,temperature.nozzle,geometry.nozzle,
3.0,material.body,geometry.nozzle,
3.0,power.heater,material.nozzle,
4.0,temperature.motor,rot.speed.fan,
4.0,material.body,material.nozzle,
5.0,power.fan,geometry.motor,
5.0,material.motor,material.motor,
5.0,power.fan,geometry.fan,
5.0,geometry.fan,material.fan,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
