Tick,Attribute.Component,Origin,Failed Behaviour
1.0,geometry.fan,geometry.fan,
1.0,rot.speed.fan,rot.speed.fan,
2.0,geometry.motor,geometry.motor,
2.0,material.motor,material.motor,
2.0,temperature.heater,temperature.heater,
2.0,material.body,material.body,
3.0,geometry.motor,geometry.fan,
3.0,power.heater,geometry.fan,
3.0,material.nozzle,rot.speed.fan,
3.0,temperature.motor,temperature.heater,
4.0,geometry.heater,geometry.fan,
4.0,material.heater,material.heater,
4.0,geometry.body,temperature.heater,
4.0,power.heater,material.nozzle,
4.0,power.fan,material.body,
4.0,geometry.heater,material.body,
4.0,material.nozzle,material.body,
4.0,temperature.nozzle,material.body,
5.0,power.fan,geometry.motor,
5.0,geometry.nozzle,temperature.motor,
5.0,temperature.motor,rot.speed.fan,
5.0,temperature.nozzle,rot.speed.fan,
5.0,material.motor,geometry.heater,
5.0,power.fan,temperature.heater,
5.0,temperature.nozzle,temperature.heater,
6.0,power.heater,geometry.motor,
6.0,material.fan,geometry.fan,
6.0,geometry.body,material.nozzle,
6.0,material.heater,material.body,
6.0,geometry.nozzle,material.body,
7.0,temperature.motor,geometry.motor,
7.0,material.motor,rot.speed.fan,
7.0,geometry.nozzle,power.fan,
7.0,material.fan,geometry.heater,
7.0,power.heater,geometry.heater,
7.0,material.body,temperature.heater,
7.0,material.fan,material.nozzle,
7.0,geometry.nozzle,temperature.nozzle,
8.0,material.motor,geometry.motor,
8.0,material.fan,geometry.motor,
8.0,power.heater,power.fan,
8.0,temperature.motor,geometry.heater,
8.0,power.fan,geometry.heater,
8.0,temperature.nozzle,material.nozzle,
9.0,material.heater,material.heater,
9.0,material.body,geometry.body,
10.0,power.motor,power.motor,
10.0,power.motor,geometry.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
