Tick,Attribute.Component,Origin,Failed Behaviour
1.0,power.motor,power.motor,
1.0,temperature.heater,temperature.heater,
2.0,power.fan,power.fan,
3.0,geometry.fan,geometry.fan,
3.0,material.body,power.fan,
3.0,power.heater,power.heater,
3.0,temperature.motor,temperature.heater,
4.0,power.heater,power.fan,
4.0,geometry.nozzle,power.fan,
4.0,material.nozzle,material.body,
5.0,geometry.heater,power.motor,
5.0,geometry.motor,power.fan,
5.0,material.nozzle,power.heater,
5.0,power.fan,temperature.heater,
5.0,geometry.nozzle,temperature.heater,
5.0,temperature.nozzle,temperature.heater,
5.0,geometry.body,geometry.body,
5.0,temperature.heater,material.body,
5.0,geometry.nozzle,material.body,
6.0,geometry.motor,temperature.motor,
6.0,geometry.nozzle,temperature.motor,
6.0,geometry.motor,geometry.fan,
6.0,power.heater,geometry.fan,
6.0,rot.speed.fan,rot.speed.fan,
6.0,temperature.nozzle,material.body,
7.0,material.motor,temperature.motor,
7.0,geometry.heater,temperature.motor,
7.0,material.body,temperature.motor,
7.0,power.fan,geometry.fan,
7.0,geometry.heater,geometry.fan,
7.0,geometry.body,temperature.heater,
7.0,geometry.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
