Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,material.motor,material.motor,
0.0,geometry.fan,geometry.fan,
0.0,temperature.heater,temperature.heater,
1.0,geometry.heater,material.motor,
1.0,rot.speed.fan,rot.speed.fan,
1.0,temperature.motor,temperature.heater,
1.0,temperature.nozzle,temperature.heater,
1.0,material.body,temperature.heater,
2.0,geometry.motor,geometry.fan,
2.0,material.fan,material.fan,
2.0,material.nozzle,material.body,
3.0,geometry.nozzle,temperature.motor,
3.0,material.nozzle,rot.speed.fan,
3.0,temperature.nozzle,rot.speed.fan,
3.0,power.heater,geometry.heater,
3.0,material.body,geometry.heater,
3.0,material.heater,material.heater,
3.0,power.fan,temperature.heater,
4.0,temperature.motor,material.motor,
4.0,material.nozzle,power.heater,
5.0,temperature.motor,geometry.motor,
5.0,geometry.motor,material.motor,
5.0,material.body,material.motor,
5.0,material.fan,geometry.fan,
5.0,power.fan,geometry.fan,
5.0,geometry.heater,geometry.fan,
5.0,temperature.motor,rot.speed.fan,
5.0,material.heater,material.heater,
5.0,geometry.nozzle,temperature.heater,
5.0,geometry.body,temperature.heater,
5.0,geometry.nozzle,temperature.nozzle,
6.0,power.fan,power.heater,
6.0,material.heater,temperature.nozzle,
6.0,material.body,temperature.nozzle,
7.0,power.motor,power.motor,
7.0,geometry.nozzle,geometry.fan,
7.0,material.body,power.fan,
7.0,geometry.fan,power.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
