Tick,Attribute.Component,Origin,Failed Behaviour
1.0,rot.speed.fan,rot.speed.fan,
1.0,material.heater,material.heater,
1.0,geometry.nozzle,geometry.nozzle,
2.0,temperature.heater,temperature.heater,
2.0,material.body,material.body,
3.0,temperature.motor,temperature.motor,
3.0,material.nozzle,rot.speed.fan,
3.0,material.fan,material.fan,
3.0,power.fan,power.fan,
3.0,material.heater,material.heater,
3.0,temperature.motor,temperature.heater,
3.0,temperature.motor,geometry.nozzle,
3.0,power.fan,geometry.nozzle,
3.0,temperature.nozzle,geometry.nozzle,
3.0,material.body,geometry.nozzle,
4.0,geometry.fan,geometry.fan,
4.0,temperature.nozzle,rot.speed.fan,
4.0,material.body,power.fan,
4.0,material.body,material.nozzle,
5.0,temperature.motor,rot.speed.fan,
5.0,temperature.nozzle,temperature.heater,
5.0,geometry.body,temperature.heater,
5.0,power.heater,material.nozzle,
6.0,geometry.motor,geometry.fan,
6.0,material.motor,rot.speed.fan,
6.0,geometry.heater,material.fan,
6.0,temperature.heater,power.fan,
6.0,material.fan,geometry.nozzle,
7.0,power.motor,power.motor,
7.0,geometry.motor,power.fan,
7.0,geometry.heater,power.fan,
7.0,material.body,material.heater,
7.0,power.fan,power.heater,
7.0,material.body,temperature.heater,
7.0,geometry.body,geometry.nozzle,
7.0,temperature.nozzle,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
