Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,material.body,material.body,
1.0,material.fan,material.fan,
2.0,geometry.motor,geometry.motor,
2.0,geometry.fan,geometry.fan,
2.0,power.fan,material.body,
2.0,geometry.heater,material.body,
2.0,geometry.nozzle,material.body,
3.0,material.heater,material.heater,
3.0,power.heater,power.heater,
3.0,geometry.body,material.body,
4.0,geometry.fan,geometry.motor,
4.0,power.fan,geometry.motor,
4.0,geometry.heater,material.fan,
4.0,material.body,material.fan,
4.0,material.nozzle,power.heater,
4.0,temperature.motor,geometry.nozzle,
4.0,power.fan,geometry.nozzle,
5.0,power.heater,geometry.motor,
5.0,geometry.heater,power.motor,
5.0,temperature.heater,temperature.motor,
5.0,material.heater,material.heater,
5.0,material.body,material.nozzle,
5.0,temperature.heater,geometry.body,
5.0,material.nozzle,geometry.body,
6.0,geometry.motor,material.fan,
6.0,geometry.fan,material.fan,
6.0,power.heater,power.fan,
6.0,material.motor,geometry.heater,
6.0,material.body,temperature.heater,
6.0,temperature.nozzle,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
