Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.fan,geometry.fan,
0.0,temperature.heater,temperature.heater,
1.0,material.fan,material.fan,
1.0,material.body,material.body,
2.0,geometry.motor,geometry.motor,
2.0,power.motor,power.motor,
2.0,material.heater,material.heater,
2.0,power.heater,power.heater,
2.0,temperature.motor,temperature.heater,
2.0,temperature.nozzle,temperature.heater,
2.0,geometry.body,temperature.heater,
2.0,power.fan,material.body,
2.0,temperature.heater,material.body,
3.0,geometry.heater,material.body,
3.0,material.nozzle,material.body,
3.0,temperature.nozzle,material.body,
4.0,geometry.fan,geometry.motor,
4.0,geometry.nozzle,temperature.motor,
4.0,rot.speed.fan,rot.speed.fan,
4.0,material.nozzle,material.fan,
4.0,geometry.nozzle,power.fan,
4.0,geometry.heater,power.heater,
4.0,temperature.motor,material.body,
4.0,geometry.nozzle,material.body,
5.0,power.heater,geometry.motor,
5.0,geometry.heater,material.fan,
5.0,temperature.heater,power.fan,
5.0,material.heater,material.heater,
5.0,rot.speed.fan,temperature.nozzle,
5.0,geometry.nozzle,temperature.nozzle,
5.0,material.heater,material.body,
6.0,temperature.motor,geometry.motor,
6.0,geometry.heater,power.motor,
6.0,geometry.fan,material.fan,
6.0,power.heater,power.fan,
6.0,power.heater,material.nozzle,
6.0,material.heater,temperature.nozzle,
6.0,material.body,geometry.body,
7.0,material.motor,geometry.motor,
7.0,material.heater,geometry.motor,
7.0,geometry.motor,power.fan,
7.0,material.nozzle,temperature.nozzle,
7.0,geometry.nozzle,geometry.body,
7.0,geometry.body,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
