Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,power.fan,power.fan,
0.0,material.nozzle,material.nozzle,
0.0,geometry.body,geometry.body,
1.0,geometry.fan,geometry.fan,
1.0,material.body,power.fan,
1.0,power.heater,power.heater,
1.0,material.body,material.nozzle,
2.0,rot.speed.fan,rot.speed.fan,
2.0,power.heater,power.fan,
2.0,temperature.heater,temperature.heater,
2.0,geometry.nozzle,geometry.nozzle,
2.0,rot.speed.fan,material.nozzle,
2.0,power.heater,material.nozzle,
2.0,temperature.heater,geometry.body,
2.0,material.nozzle,geometry.body,
2.0,temperature.heater,material.body,
3.0,temperature.motor,temperature.motor,
3.0,geometry.motor,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,geometry.heater,material.body,
4.0,geometry.heater,power.motor,
4.0,geometry.heater,geometry.fan,
4.0,power.heater,geometry.fan,
4.0,temperature.nozzle,rot.speed.fan,
4.0,geometry.heater,power.fan,
4.0,temperature.heater,power.fan,
4.0,material.heater,material.heater,
4.0,material.body,geometry.body,
5.0,geometry.fan,geometry.motor,
5.0,temperature.heater,temperature.motor,
5.0,geometry.nozzle,temperature.motor,
5.0,material.motor,geometry.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
