Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.heater,material.heater,
0.0,temperature.heater,temperature.heater,
1.0,material.motor,material.motor,
1.0,geometry.fan,geometry.fan,
1.0,material.fan,material.fan,
1.0,power.fan,power.fan,
1.0,power.heater,power.heater,
1.0,geometry.nozzle,geometry.nozzle,
2.0,rot.speed.fan,rot.speed.fan,
2.0,material.heater,material.heater,
2.0,material.nozzle,power.heater,
2.0,geometry.body,temperature.heater,
3.0,geometry.nozzle,material.fan,
3.0,geometry.motor,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,power.fan,power.heater,
3.0,geometry.heater,power.heater,
3.0,material.body,material.nozzle,
4.0,geometry.heater,material.motor,
4.0,temperature.nozzle,rot.speed.fan,
4.0,geometry.heater,material.fan,
4.0,power.fan,temperature.heater,
5.0,geometry.fan,geometry.motor,
5.0,temperature.motor,material.motor,
5.0,power.motor,power.motor,
5.0,material.nozzle,rot.speed.fan,
5.0,geometry.motor,power.heater,
5.0,material.motor,power.heater,
5.0,temperature.motor,temperature.heater,
5.0,temperature.motor,geometry.nozzle,
5.0,temperature.nozzle,geometry.nozzle,
5.0,material.body,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
