Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,temperature.motor,temperature.motor,
0.0,geometry.fan,geometry.fan,
0.0,rot.speed.fan,rot.speed.fan,
0.0,power.fan,power.fan,
0.0,material.heater,material.heater,
0.0,temperature.heater,temperature.heater,
0.0,geometry.nozzle,geometry.nozzle,
1.0,geometry.motor,geometry.motor,
1.0,temperature.motor,temperature.heater,
1.0,material.body,temperature.heater,
2.0,power.heater,geometry.fan,
2.0,material.nozzle,rot.speed.fan,
2.0,geometry.nozzle,power.fan,
2.0,material.nozzle,material.body,
3.0,geometry.fan,geometry.motor,
3.0,power.fan,geometry.motor,
3.0,geometry.nozzle,temperature.motor,
3.0,material.heater,material.heater,
3.0,material.nozzle,power.heater,
3.0,power.fan,temperature.heater,
3.0,geometry.body,temperature.heater,
3.0,power.fan,material.body,
4.0,power.heater,geometry.motor,
4.0,geometry.heater,power.motor,
4.0,material.body,temperature.motor,
4.0,temperature.motor,rot.speed.fan,
4.0,material.fan,material.fan,
5.0,material.motor,rot.speed.fan,
5.0,material.motor,geometry.heater,
5.0,material.body,geometry.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
