Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,material.motor,material.motor,
0.0,power.fan,power.fan,
1.0,geometry.heater,material.motor,
1.0,material.fan,material.fan,
1.0,material.heater,material.heater,
1.0,geometry.nozzle,geometry.nozzle,
2.0,geometry.fan,geometry.motor,
2.0,power.fan,geometry.motor,
2.0,temperature.heater,temperature.heater,
3.0,power.heater,geometry.motor,
3.0,rot.speed.fan,rot.speed.fan,
3.0,material.body,power.fan,
3.0,material.body,geometry.heater,
3.0,temperature.motor,temperature.heater,
3.0,temperature.motor,geometry.nozzle,
3.0,power.fan,geometry.nozzle,
3.0,temperature.nozzle,geometry.nozzle,
4.0,temperature.motor,material.motor,
4.0,power.heater,material.motor,
4.0,geometry.heater,material.fan,
4.0,temperature.nozzle,material.heater,
4.0,geometry.body,temperature.heater,
4.0,material.body,geometry.nozzle,
5.0,material.motor,geometry.motor,
5.0,temperature.motor,geometry.motor,
5.0,material.fan,geometry.motor,
5.0,power.motor,power.motor,
5.0,material.nozzle,rot.speed.fan,
5.0,material.heater,material.heater,
5.0,material.nozzle,power.heater,
5.0,material.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
