Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,power.motor,power.motor,
0.0,power.fan,power.fan,
1.0,material.fan,material.fan,
1.0,material.body,power.fan,
1.0,material.heater,material.heater,
2.0,temperature.motor,temperature.motor,
2.0,geometry.fan,geometry.fan,
2.0,temperature.heater,material.body,
2.0,material.nozzle,material.body,
3.0,geometry.fan,geometry.motor,
3.0,power.heater,geometry.motor,
3.0,temperature.heater,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,power.heater,material.nozzle,
3.0,geometry.heater,material.body,
3.0,geometry.nozzle,material.body,
4.0,temperature.motor,geometry.motor,
4.0,geometry.heater,power.motor,
4.0,rot.speed.fan,rot.speed.fan,
4.0,geometry.heater,material.fan,
4.0,geometry.motor,power.fan,
4.0,power.heater,power.fan,
4.0,material.heater,material.heater,
4.0,temperature.nozzle,material.body,
4.0,geometry.body,material.body,
5.0,temperature.nozzle,temperature.heater,
5.0,geometry.body,temperature.heater,
5.0,temperature.motor,geometry.nozzle,
5.0,temperature.nozzle,geometry.nozzle,
5.0,rot.speed.fan,material.nozzle,
5.0,material.heater,material.body,
6.0,temperature.heater,temperature.motor,
6.0,geometry.fan,material.fan,
6.0,geometry.nozzle,material.fan,
6.0,power.heater,geometry.heater,
6.0,material.motor,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
